"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"273178545","2023-08-20T00:00:00.000","04:02:00","BRONX","OUTSIDE","43","0","STREET","(null)","true","(null)","(null)","(null)","18-24","M","BLACK HISPANIC","1018110","240290","40.826151124164","-73.87765398540141","POINT (-73.87765398540141 40.826151124164)"
"273194205","2023-08-20T00:00:00.000","19:43:00","BRONX","OUTSIDE","47","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1022260","260278","40.880996","-73.862544","POINT (-73.862544 40.880996)"
"273178544","2023-08-20T00:00:00.000","06:50:00","BRONX","INSIDE","44","0","COMMERCIAL","BAR/NIGHT CLUB","false","25-44","M","BLACK HISPANIC","45-64","M","BLACK HISPANIC","1005701","245266","40.839849","-73.922473","POINT (-73.922473 40.839849)"
"273178544","2023-08-20T00:00:00.000","06:50:00","BRONX","INSIDE","44","0","COMMERCIAL","BAR/NIGHT CLUB","false","25-44","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","1005701","245266","40.839849","-73.922473","POINT (-73.922473 40.839849)"
"273176661","2023-08-20T00:00:00.000","01:47:00","BRONX","INSIDE","52","0","DWELLING","MULTI DWELL - APT BUILD","true","25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1016542","257532","40.873484","-73.883235","POINT (-73.883235 40.873484)"
"273194784","2023-08-20T00:00:00.000","18:15:00","BROOKLYN","OUTSIDE","60","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","984147","150277","40.579154","-74.00037","POINT (-74.00037 40.579154)"
"273194782","2023-08-20T00:00:00.000","21:14:00","BRONX","OUTSIDE","42","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1010922","239853","40.824977","-73.903626","POINT (-73.903626 40.824977)"
"273194783","2023-08-20T00:00:00.000","23:30:00","BRONX","OUTSIDE","48","0","STREET","(null)","true","25-44","F","BLACK","18-24","F","BLACK","1012058","248610","40.84901","-73.899486","POINT (-73.899486 40.84901)"
"273194205","2023-08-20T00:00:00.000","19:43:00","BRONX","OUTSIDE","47","0","STREET","(null)","false","(null)","(null)","(null)","45-64","F","BLACK","1022260","260278","40.880996","-73.862544","POINT (-73.862544 40.880996)"
"273135998","2023-08-19T00:00:00.000","01:49:00","BRONX","OUTSIDE","41","0","STREET","(null)","false","45-64","M","WHITE HISPANIC","18-24","M","WHITE","1011153","235311","40.812511","-73.902811","POINT (-73.902811 40.812511)"
"273129832","2023-08-19T00:00:00.000","01:39:00","BRONX","INSIDE","46","0","DWELLING","MULTI DWELL - APT BUILD","false","18-24","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","1010817","249078","40.850298","-73.903968","POINT (-73.903968 40.850298)"
"273146317","2023-08-19T00:00:00.000","13:43:00","MANHATTAN","OUTSIDE","5","0","PLAYGROUND","(null)","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC","984990","200136",,,
"273176662","2023-08-19T00:00:00.000","23:40:00","BRONX","OUTSIDE","46","0","STREET","(null)","false","45-64","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1012713","252388","40.859376","-73.897103","POINT (-73.897103 40.859376)"
"273176662","2023-08-19T00:00:00.000","23:40:00","BRONX","OUTSIDE","46","0","STREET","(null)","false","45-64","F","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1012713","252388","40.859376","-73.897103","POINT (-73.897103 40.859376)"
"273129832","2023-08-19T00:00:00.000","01:39:00","BRONX","INSIDE","46","0","DWELLING","MULTI DWELL - APT BUILD","false","18-24","M","BLACK","25-44","M","WHITE HISPANIC","1010817","249078","40.850298","-73.903968","POINT (-73.903968 40.850298)"
"273126315","2023-08-18T00:00:00.000","23:12:00","MANHATTAN","INSIDE","25","0","COMMERCIAL","GROCERY/BODEGA","false","25-44","M","BLACK","25-44","M","BLACK HISPANIC","1000190","230366","40.798965","-73.942427","POINT (-73.942427 40.798965)"
"273035029","2023-08-17T00:00:00.000","09:02:00","BROOKLYN","OUTSIDE","75","0","STREET","MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","BLACK","1018725","182229","40.666787","-73.875728","POINT (-73.875728 40.666787)"
"273080888","2023-08-17T00:00:00.000","22:03:00","BRONX","OUTSIDE","43","2","HOUSING","MULTI DWELL - PUBLIC HOUS","false","(null)","(null)","(null)","45-64","M","BLACK","1017969","243672","40.835435","-73.878146","POINT (-73.878146 40.835435)"
"272968931","2023-08-16T00:00:00.000","02:46:00","BRONX","OUTSIDE","41","0","STREET","(null)","false","25-44","F","BLACK","45-64","M","BLACK","1014639","240066","40.825549","-73.890195","POINT (-73.890195 40.825549)"
"273010051","2023-08-16T00:00:00.000","11:09:00","QUEENS","OUTSIDE","103","0","STREET","(null)","false","25-44","M","BLACK","45-64","M","WHITE HISPANIC","1037507","195007","40.701765633436125","-73.80792594429812","POINT (-73.80792594429812 40.701765633436125)"
"272944750","2023-08-15T00:00:00.000","19:28:00","BROOKLYN","INSIDE","71","0","OTHER","GYM/FITNESS FACILITY","false","<18","M","BLACK","<18","M","BLACK","996525","182939","40.668794","-73.95575","POINT (-73.95575 40.668794)"
"272944749","2023-08-15T00:00:00.000","13:19:00","BRONX","OUTSIDE","44","0","STREET","(null)","false","<18","M","BLACK","65+","M","WHITE HISPANIC","1007267","240281","40.826163","-73.91683","POINT (-73.91683 40.826163)"
"272881673","2023-08-14T00:00:00.000","23:45:00","BROOKLYN","INSIDE","81","0","DWELLING","MULTI DWELL - APT BUILD","false","45-64","M","BLACK","18-24","F","BLACK","1001179","192507","40.69505","-73.938948","POINT (-73.938948 40.69505)"
"272881672","2023-08-14T00:00:00.000","05:55:00","MANHATTAN","OUTSIDE","32","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1001028","240331","40.826315","-73.939375","POINT (-73.939375 40.826315)"
"272881671","2023-08-14T00:00:00.000","02:50:00","BROOKLYN","OUTSIDE","69","0","COMMERCIAL","GAS STATION","false","(null)","(null)","(null)","25-44","M","BLACK","1010541","175595",,,
"272822538","2023-08-13T00:00:00.000","12:16:00","BROOKLYN","OUTSIDE","73","0","STREET","MULTI DWELL - APT BUILD","false","(null)","(null)","(null)","25-44","M","BLACK","1009023","181159","40.663882","-73.910705","POINT (-73.910705 40.663882)"
"272831774","2023-08-13T00:00:00.000","21:19:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","false","18-24","M","BLACK","25-44","M","WHITE HISPANIC","1020819","188795","40.684802","-73.868145","POINT (-73.868145 40.684802)"
"272817658","2023-08-12T00:00:00.000","23:48:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","false","(null)","(null)","(null)","25-44","M","BLACK","998220","235265","40.812415","-73.949529","POINT (-73.949529 40.812415)"
"272817657","2023-08-12T00:00:00.000","17:30:00","STATEN ISLAND","OUTSIDE","120","2","HOUSING","MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","BLACK","960029","174205","40.644797","-74.087278","POINT (-74.087278 40.644797)"
"272815861","2023-08-12T00:00:00.000","20:18:00","BRONX","OUTSIDE","46","0","STREET","(null)","false","<18","M","BLACK HISPANIC","<18","M","BLACK","1010368","250580","40.854422","-73.905587","POINT (-73.905587 40.854422)"
"272815859","2023-08-12T00:00:00.000","05:21:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","true","(null)","(null)","(null)","25-44","M","BLACK","1013381","178731","40.657207","-73.895007","POINT (-73.895007 40.657207)"
"272815858","2023-08-12T00:00:00.000","02:43:00","BROOKLYN","INSIDE","79","2","HOUSING","MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","25-44","M","BLACK","1001139","192774","40.695783","-73.939093","POINT (-73.939093 40.695783)"
"272774443","2023-08-11T00:00:00.000","13:06:00","BRONX","OUTSIDE","46","0","DWELLING","MULTI DWELL - APT BUILD","false","25-44","M","BLACK HISPANIC","18-24","M","BLACK HISPANIC","1007521","250574","40.854413","-73.915879","POINT (-73.915879 40.854413)"
"272815860","2023-08-11T00:00:00.000","23:29:00","MANHATTAN","OUTSIDE","32","0","STREET","(null)","true","25-44","M","BLACK","25-44","M","WHITE HISPANIC","997995","235238","40.812339","-73.950343","POINT (-73.950343 40.812339)"
"272725871","2023-08-11T00:00:00.000","00:49:00","QUEENS","OUTSIDE","114","0","HOUSING","MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","1002343","216933","40.76209","-73.934684","POINT (-73.934684 40.76209)"
"272718148","2023-08-10T00:00:00.000","17:30:00","BROOKLYN","OUTSIDE","77","0","STREET","(null)","true","(null)","(null)","(null)","25-44","M","BLACK","1004579","183837","40.671245","-73.926713","POINT (-73.926713 40.671245)"
"272718148","2023-08-10T00:00:00.000","17:30:00","BROOKLYN","OUTSIDE","77","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1004579","183837","40.671245","-73.926713","POINT (-73.926713 40.671245)"
"272657013","2023-08-09T00:00:00.000","16:20:00","BRONX","OUTSIDE","44","0","STREET","(null)","false","18-24","M","BLACK","<18","M","BLACK HISPANIC","1007927","244949","40.838974","-73.914429","POINT (-73.914429 40.838974)"
